osm_id,osm_type,name,lat,lon,name_en,alt_name,website,phone,email,opening_hours,addr_city,addr_country,addr_street,addr_postcode,wikipedia,wikidata,fee,access,operator,description,leisure,garden_type
9955288825,node,长郡双语生态植物园,28.2464262,112.9296491,,,,,,,,,,,,,,,,,garden,botanical
9979438917,node,Міні дэндрапарк,55.0597384,26.6044965,Mini arboretum,,,,,,,,,,,,,yes,,,garden,botanical
9983847017,node,Herrontown Woods Arboretum,40.376455,-74.641077,,,,,,,,,,,en:Herrontown Woods Arboretum,Q5744224,,,,,garden,botanical
9991485072,node,Мемориальный ботанический сад Г. А. Демидова,59.661963,56.7878138,,,http://demidovsad.ru/,+7 (34253) 5-55-95,,,,,,,ru:Мемориальный ботанический сад Г. А. Демидова,Q28666421,yes,,,,garden,botanical
9992664152,node,牡丹园,29.5964046,106.2973736,,,,,,,,,,,,,,,,,garden,botanical
9992664153,node,木兰园,29.5974248,106.2969692,,,,,,,,,,,,,,,,,garden,botanical
9992664154,node,蔷薇园,29.5963699,106.296656,,,,,,,,,,,,,,,,,garden,botanical
9992664156,node,羊蹄甲林,29.5971375,106.2954998,,,,,,,,,,,,,,,,,garden,botanical
9992664157,node,牡丹园,29.5950576,106.2941159,,,,,,,,,,,,,,,,,garden,botanical
9992664158,node,山茶园,29.5962115,106.2918947,,,,,,,,,,,,,,,,,garden,botanical
9992664159,node,苗圃与引进植物园,29.5952606,106.2895995,,,,,,,,,,,,,,,,,garden,botanical
9992664160,node,热带植物展览区,29.592725,106.2970091,,,,,,,,,,,,,,,,,garden,botanical
9992664161,node,药用植物园,29.5966161,106.2922642,,,,,,,,,,,,,,,,,garden,botanical
9992664162,node,果树园,29.5952401,106.2916312,,,,,,,,,,,,,,,,,garden,botanical
9992664163,node,西南珍稀树木园,29.5970499,106.293203,,,,,,,,,,,,,,,,,garden,botanical
9999601096,node,北山植物园,33.3930344,104.9273143,North Hill Botanical Garden,,,,,,,,,,,,no,yes,,,garden,botanical
10047668159,node,雙子葉植物區,25.0319214,121.5099825,,,,,,,,,,,,,,,,,garden,botanical
10047668160,node,裸子植物區,25.0332022,121.5102386,,,,,,,,,,,,,,,,,garden,botanical
10047668161,node,多肉植物區,25.033163,121.5085721,,,,,,,,,,,,,,,,,garden,botanical
10047668162,node,蕨類植物區,25.0329425,121.50857,,,,,,,,,,,,,,,,,garden,botanical
10047668163,node,成語植物區,25.0329236,121.5088732,,,,,,,,,,,,,,,,,garden,botanical
10047668164,node,佛教植物區,25.0326555,121.5107574,Buddhism Garden,,,,,,,,,,,,,,,,garden,botanical
10047668165,node,文學植物區,25.0320794,121.5115349,Plants in Literature,,,,,,,,,,,,,,,,garden,botanical
10050323006,node,Luthy Botanical Garden,40.7186295,-89.5757538,,,https://peoriaparks.org/places/luthy/,,,,Peoria,,North Prospect Road,,,Q5541469,no,permissive,,,garden,botanical
10055737935,node,саябақ,44.8947912,64.5762349,,,,,,,,,,,,,,,,,garden,botanical
10083417409,node,Jardin Maurice David,49.0165837,2.2670056,,,,,,,,,,,,,,private,,,garden,botanical
10092234311,node,Giardino Botanico,46.1431705,11.7915283,,,https://www.imereventi.it/cultura-territorio/giardino-botanico-p73,,,,,,,,,,,yes,,,garden,botanical
