bgci_id,name,name_alt,website,phone,email,latitude,longitude,city,state_province,postal_code,country_code,country,address,open_to_public,year_incorporated,overview,accessions_count,member_bgci,member_abg,member_ipen,botanic_garden_accredited,arbnet_accredited_level,herbarium_code,social_facebook,social_instagram,social_twitter,updated_at,source,attr_access_conservation_policies,attr_advocates_conservation,attr_altitude,attr_audience_development,attr_average_annual_precipitation,attr_biosecurity_best_practices,attr_carbon_reduction_policies,attr_collaborations_conservation,attr_collection_access,attr_community_outreach,attr_conservation_assessment_activities,attr_conservation_expertise_external,attr_conservation_habitat_focus,attr_conservation_horticulture_activities,attr_conservation_non_permanent_budget,attr_conservation_permanent_budget_percentage,attr_conservation_professional_development,attr_conservation_staff_total,attr_conservation_volunteers_total,attr_education_practices,attr_education_resources,attr_education_staff_total,attr_education_topics,attr_energy_saving_techniques,attr_evaluates_conservation_activities,attr_ex_situ_infrastructure,attr_governance_type,attr_horticulture_staff_total,attr_in_situ_best_practices,attr_in_situ_conservation,attr_in_situ_land_area_impact,attr_interpretation_conservation,attr_invasive_species_monitoring,attr_landscaped_area_hectares,attr_living_collections_policy,attr_mission_statement_conservation,attr_natural_area_hectares,attr_non_school_classes,attr_online_learning,attr_operating_budget,attr_organisation_type,attr_plant_conservation_policy,attr_plant_records_database,attr_policy_exists,attr_policy_includes_conservation,attr_research_programmes,attr_research_staff_total,attr_research_volunteers_annual,attr_school_programmes,attr_scientific_research_participant,attr_species_recovery_native,attr_species_recovery_non_native,attr_staff_total,attr_strategies_frameworks,attr_sustainability_certification,attr_sustainability_goal,attr_sustainability_policy,attr_sustainable_food_practices,attr_total_area_hectares,attr_urban_greening_practices,attr_visitors_annual,attr_volunteers_annual,attr_waste_management_practices,attr_water_saving_policies,attr_wild_collection_best_practices,attr_wild_origin_living_percent,attr_wild_origin_seed_bank_percent
12,Jardín Agrobotánico del Centro Regional Universitario Península de Yucatán,,http://www.crupy-uach.org.mx/6.jardin-agrobotanico,,,21.05990,-89.39040,Estado de México,Yucatan,C.P. 56230,MX,Mexico,Dirección de Centros Regionales Universitarios,,,,0,0,0,0,0,,CRUPY,,,,2024-02-26T22:21:50.000000Z,BGCI GardenSearch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Botanic Garden/Arboretum,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Jardín Botánico 'Dr. Alfredo Barrera Marín' de ECOSUR,,http://200.34.194.65/ecosur2/areas/jardin-botanico-dr-alfredo-barrera-marin,(529) 832-1666,jardinbotanico@ecosur.mx,18.50350,-88.29650,Puerto Morelos,Quintana Roo,77900,MX,Mexico,Km 320 Carretera Federal,1,1982,"This garden was established in 1982 and is one of the largest Botanical Gardens in Mexico.
It’s the last patch of conserved forest between Cancun and Playa del Carmen, with collections of cactaceae, bromeliaceae, orquideaceae, ferns, fruits, ornamentals, palms and medicinal plants representative for Yucatan Peninsula. A trail of about 4 km leads through representative natural forest formations and along a traditional Maya house and ""chicle"" camp with a Mayan Arqueological Site.
One of the main",0,0,0,0,0,,CIQR,,,,2024-02-26T22:21:50.000000Z,BGCI GardenSearch,,,5,,,,,,,,,,,,,,,,,,,,,,,,Academic,,,,,,,,,,60,,,,Botanic Garden/Arboretum,,,,,,,,,,,,4,,,,,,65,,4000,3,,,,,
14,Jardín Botánico 'Jerzy Rzedowski Rotter',,,(17)33-00-67,roman@lag.megared.net.mx,32.44570,-114.76700,Torreón Coahuila,Coahuila,C.P. 27130,MX,Mexico,"Universidad Autónoma Agraria ""Antonio Narro""",,,,0,0,0,0,0,,JRZRO,,,,2024-02-26T22:21:50.000000Z,BGCI GardenSearch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Botanic Garden/Arboretum,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Jardín Botánico ""Louise Wardle de Camacho""",,,22 360996,jbotanico@africamsafari.com.mx,19.06000,-98.19000,Puebla,Puebla,72960,MX,Mexico,Africam Safari (Carretera a Valsequillo Km. 16.5 Valsequillo),1,1993,"The botanic garden ""Louise Wardle de Camacho"" was founded in 1993, into the zoo Africam Safari. 

This Botanic Garden have a collection of native plants of Valsequillo, Puebla. And more a collection of national oaks. 

We work with the general public (familys, adults, childrens and old people). The workshops are about topics whit the curriculum scholar and topics interest. 

We have 4 sections: Desert plants, air's plants, deciduos forest and native plants.",0,0,0,0,0,,WARDL,,,,2024-02-26T22:21:50.000000Z,BGCI GardenSearch,,,2096,,900,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,3,,,,Botanic Garden/Arboretum,,,,,,,,,,,,6,,,,,,,,25000,10,,,,,
16,Jardín Botánico 'Rey Nezahualcóyotl',,http://www.uaa.mx/centros/ccbas/deptos/biologia/pagina/jardinbot.htm,,,21.88170,-102.29120,Ciudad Universitaria,Aguascalientes,20131,MX,Mexico,Universidad Autónoma de Aguascalientes,1,1989,El jardín botánico Rey Netzahualcoyotl cuebta con plantas del estado de aguascalientes y otros estados de México. Contiene la sección de plantas regionales y de otros estados. la sección de plantas medicinales y la sección de plantas ornamentales tóxicas ademas de un arboretum,0,0,0,0,0,,HUAA,,,,2025-03-06T10:00:10.000000Z,BGCI GardenSearch,,,1950,,550,,,,,,,,,,,,,,,,,,,,,,Academic,,,,,,,3,,,3,,,,Botanic Garden/Arboretum,,,,,,,,,,,,,,,,,,3,,1000,,,,,,
17,Jardín Botánico 'Ing. Gustavo Aguirre Benavides',,https://www.uaaan.edu.mx/,(528) 417-3022,botanica@uaaan.edu.mx;__primary,32.44570,-114.76700,"Buenavista,","Saltillo, Coahuila",25315,MX,Mexico,Universidad Autonoma Agraria Antonio Narro,,1967,,0,1,0,0,0,,ANSM,,,,2026-03-18T14:20:05.000000Z,BGCI GardenSearch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Botanic Garden/Arboretum,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Jardin Botanico 'Jorge Victor Eller T.',,http://www.bolsasecologicasmexico.com,52 36 415051,cladium@yahoo.com.mx,20.69202,-103.41804,GUADALAJARA,Jalisco,A.P. 1-440 C.P. 4410,MX,Mexico,Universidad Autónoma de Guadalajara,,1968,"El Jardín Botánico ""Jorge Víctor Eller T."" es una dependencia de la Facultad de Ciencias de la Universidad Autónoma de Guadalajara y tiene una función educativa para los alumnos de la CARRERA DE BIOLOGO. 

Recibe también visitantes de otras instituciones educativas de nivel medio y superior así como internacionales sin costo.

El Jardín Botánico tiene también una función de conservación e investigación científicas de especies vegetales de zonas áridas y árboles tropicales del occidente de Mé",0,0,0,0,0,,GUADA,,,,2024-02-26T22:21:51.000000Z,BGCI GardenSearch,,,,,,,,,,,,,,,,,,,,,,,,,,,Private; Academic,,,,,,,,,,,,,,Botanic Garden/Arboretum,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Jardín Botánico 'Ollintepetl',,,,medio.ambiente@hidalgo.gob.mx,20.49720,-98.92430,Parque Ecológico Cubitos,,,MX,Mexico,SEMARNATH,,,,0,0,0,0,0,,COEDE,,,,2024-02-26T22:21:51.000000Z,BGCI GardenSearch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Botanic Garden/Arboretum,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Jardín Botánico 'Benjamin Francis Johnston',,http://www.jbbfj.org,6681468666,educacion.ambiental@jbbfj.org,25.79160,-108.98730,"Los Mochis, Ahome.",Sinaloa.,81200,MX,Mexico,"Blvd. Antonio Rosales # 750 Sur, Colonia Centro.",1,1929,"The historical Botanical Gardens were part of La Casa Grande Mansion that belonged to an American business man called Benjamin F. Johnston that came to the region and built a big emporium by the establishment of a Sugar Mill in the 1900's. 

Designed by Florence Yoch a highly recognized Californian landscape architect for the design of the set of ""Gone with the Wind"" among others (reference book: Landscaping the American Dream: The Gardens and Film Sets of Florence Yoch:1890-1972).

Today is",4,0,0,0,0,,AHOME,https://www.facebook.com/jbbfj/?locale=es_LA,https://www.instagram.com/jbbfjlosmochis/,https://twitter.com/i/flow/login?redirect_after_login=%2FJBBFJLosMochis%3Ft%3Dzd_bIIdv8qgSPkcEo5ThNQ%26s%3D08,2026-03-03T17:00:05.000000Z,BGCI GardenSearch,"Compliance with sub-national, national, or international Access and Benefit Sharing regulations (e.g., Nagoya Protocol, ITPGRFA, national or sub-national regulations); Collecting, maintenance, and supply of threatened and CITES listed species; Responsible sourcing of products and plants sold and used",True,18,Including indigenous knowledge; Capacity building,200,Nursery Management; Plant Acquisition and Introduction; Visitor Management; Quarantine; Pest Monitoring and Surveying,Responsible sourcing of products and plants sold and used by the organisation,Academic institution(s); Government agency(ies); Non-profit organization(s); Research community(ies); Botanical network(s),Multi-site collections database,True,None,Sponsor or organise professional meetings or trainings; Conduct staff exchanges; Host visiting professionals; Participate in plant conservation networks,None,"Carry out taxonomic verification of collections of conservation concern; Carry out and record horticultural trials for species of conservation concern (e.g., germination or propagation studies); Curate and maintain genetically diverse collections for conservation purposes; Duplicate and back up genetically unique germplasm maintained in the living collections; Share data and collections of conservation concern with other institutions","Less than $10,000",20,"On-site skills-based staff training(s) (including formal/informal instruction on the propagation and cultivation of threatened species, invasives management and early detection); On-site knowledge-based staff training(s) ( including learning opportunities such as lunch and learn, lectures or discussions, access to adult education classes on plant conservation topics); Specialized workshops or courses via professional meetings/conferences/congresses, continuing education programmes, academic institutions, etc.",10,5,Science communication; Interpretation; Inquiry Based Science Education; Accessibility; Volunteering; Citizen/community science,Visitor centre; Guided tours; Permanent exhibitions or displays for visitors; Special exhibitions or displays for visitors; School education programmes; In-person events/classes/courses for visitors,8,Climate change; Food security; Pollination; Sustainability; Plant and biodiversity conservation; Plant science,None,True,Field gene bank/Seed orchard; Growth chamber; Herbarium; Living plant collection; Micropropagation/Tissue culture; Nursery; Shadehouse/Greenhouse,Academic; Local Government (State/County/Municipal); Trust,50,None,None,,True,None,11,True,True,5,Children; Young adults; Adults; General visitors; Specific community groups; Professional audiences,,"$100,000 to $750,000",Botanic Garden/Arboretum,True,True,Accessibility; Collections; Diversity and Inclusion; Education; Ethical Finance and Funding; Information Management; Overall Organisational Strategic or Master Plan; Sustainability; Visitors,Accessibility; Collections; Diversity and Inclusion; Education; Ethical Finance and Funding; Overall Organisational Strategic or Master Plan; Sustainability; Visitors,Crop biology; Ex situ conservation; Ethnobotany; Floristics; Horticulture,2,1,Primary years education; Middle/secondary years education; College/university education,Garden widely communicates research accomplishments to the broader public,No,No,41,"Convention on Biological Diversity (CBD); Global Strategy for Plant Conservation (GSPC); Sustainable Development Goals (SDGs); United Nations Framework Convention on Climate Change; Other Regional, National, or Sub-national Policies",False,True,False,Food growing initiatives,16,Green space design; Native plant gardening; Community gardening,1000000,21,Recycling; Composting,None,"Where possible seeds are collected. For species with available seed, no more than 15-20% of seed available at the time of collection is harvested from each individual or population.; For species with no available seed at the time of the collecting trip, cuttings are collected as an alternative. For cuttings, damage to living plants is minimised.; Data is collected alongside propagation material and linked to collected material. This includes collection of herbarium vouchers, photographs and field data.",20,80
21,Jardín Botánico Hernando Ruiz de Alarcón,,http://www.cepetaxco.unam.mx/jardin-botanico/,,biol.edgardo.m.c@gmail.com,18.56866,-99.60421,"Taxco de Alarcón,",Guerrero,S/N. C.P.40220,MX,Mexico,"Ex Hacienda de ""El Chorrillo""",,,,0,0,0,0,0,,,,,,2025-04-25T07:15:55.000000Z,BGCI GardenSearch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Botanic Garden/Arboretum,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Jardín Botánico con Caracter Didáctico,,,672-0527,nora@unam.mx,19.32530,-99.60450,D.F. MEXICO,Distrito Federal,C.P. 09450,MX,Mexico,C.C.H. Vallejo UNAM,,,Hoteles en Mexico,0,0,0,0,0,,BANJI,,,,2024-02-26T22:21:51.000000Z,BGCI GardenSearch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Jardín Botánico de Culiacán,,http://botanicoculiacan.org,01 66 77-150-036,contacto@botanicoculiacan.org,24.80410,-107.38780,Colonia Burócrata,Sinaloa,80030,MX,Mexico,Av.de Las Americas 2131,1,1986,,0,1,0,0,0,1,SINAB,https://www.facebook.com/BotanicoCLN/,https://www.instagram.com/botanicocln/,,2025-10-22T18:20:14.000000Z,BGCI GardenSearch,,,,,,,,,,,,,,,,,,,,,,,,,,Herbarium; Living plant collection; Nursery; Seed/pollen bank - Cool (0° to 15°C); Shadehouse/Greenhouse,Private; Academic; Local Government (State/County/Municipal); Trust,,,,30,,,7,True,,,,,,Botanic Garden/Arboretum,,True,,,,,,,,,,40,,,,,,10,,115000,,,,,,
24,Jardín Botánico de Acalpulco 'Esther Pliego de Salinas',,http://www.acapulcobotanico.org,01 744-435-0438,centrobotanico@acapulcobotanico.org,16.68330,-99.00000,Ciudad de Mexico,Guerrero,C.P. 01900,MX,Mexico,c/o Esther Pliego de Salinas,1,2001,"The Acapulco Botanical Garden is open every day from dawn until dusk. Entrance fee: $5US dollars
It is located in Acapulco, in the state of Guerrero, on the Pacific Coast of Mexico. The coordinates being 16° 41’ 15"" at 16° 41’ 40"" north latitude and 99° 36’ 40"" at 99° 37’ 30’’ west longitude.

CHARACTERISTICS
It is located in the South Sierra Madre Mountains, which surround Acapulco. The altitude varies between 660 and 1300 feet (200 and 400 meters) above sea level. The impressive huge bould",6,1,0,0,0,,ACAPU,,,,2025-04-16T12:20:07.000000Z,BGCI GardenSearch,,,300,,1411,,,,,,,,,,,,,,,,,,,,,,Private; Academic,,,,,,,1,,,5,,,,Botanic Garden/Arboretum,,,,,,,,,,,,3,,,,,,6,,5000,43,,,,,
25,Jardín Botánico de Ciceana,,http://www.ciceana.org.mx,5659 0509,jardin.botanico@ciceana.mx,19.32530,-99.60450,Coyoacan,Distrito Federal,4100,MX,Mexico,Av. Progreso #3,,,,0,0,0,0,0,,MEXCA,,,,2024-02-26T22:21:52.000000Z,BGCI GardenSearch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Botanic Garden/Arboretum,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Jardin Botanico de Hampolol,,,,jomartip@mail.com,19.84540,-90.52360,Campeche,Campeche,24030,MX,Mexico,Carretera Campeche Merida km 17.5,,,,0,0,0,0,0,,CAMP,,,,2024-02-26T22:21:52.000000Z,BGCI GardenSearch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Botanic Garden/Arboretum,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Jardin Botanico de La Facultad de Ciencias Agronòmicas, UNACH",,,,elcampirano2004@yahoo.com,16.24970,-92.13170,Villaflores,Chiapas,30470,MX,Mexico,Carretera Ocozocoautla-Villaflores Km. 84.5 Apdo  postal 78. C. P. 30470,,,,0,0,0,0,0,,,,,,2024-02-26T22:21:52.000000Z,BGCI GardenSearch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Botanic Garden/Arboretum,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Jardín Botánico Didáctico Instituto de Botánica CUCBA,,http://cucba.udg.mx,,miguelmunizcastro@gmail.com,20.74561,-103.51297,Zapopan,Jalisco,45110,MX,Mexico,"Departamento de Botánica y Zoología, Centro Universitario de Ciencias Biológicas y Agropecuarias, Universidad de Guadalajara",,,,0,0,0,0,0,,,,,,2024-02-26T22:21:52.000000Z,BGCI GardenSearch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Botanic Garden/Arboretum,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Jardin Botánico de la Universidad Autónoma de Guerrero,,,(747) 2-84-28,jardinbotanicouagro@gmail.com,17.60060,-99.50570,Fracc. Servidor Agrario,Guerrero,C.P. 39070,MX,Mexico,Dirección,1,1977,"Misión 
Contribuye al conocimiento y conservación de la diversidad de la flora del estado de Guerrero, a través de preservar  plantas representativas de importancia ecológica y cultural. Se vincula con la comunidad académica universitaria y de otros niveles educativos; y con la sociedad en general para la difusión y transmisión del conocimiento, biológico y etnobiológico de las especies vegetales, su uso sustentable. Sirve como un espacio para la educación ambiental y esparcimiento.

OBJETIVO",0,0,0,0,0,,GUERR,,,,2024-02-26T22:21:52.000000Z,BGCI GardenSearch,,,1257,,1006,,,,,,,,,,,,,,,,,,,,,,Academic; Local Government (State/County/Municipal),,,,,,,,,,2,,,,Botanic Garden/Arboretum,,,,,,,,,,,,12,,,,,,2,,500,10,,,,,
30,Jardín Botánico de las Plantas Medicinales 'Maximino Martinez',,,(595) 4-33-22,,19.32530,-99.60450,CHAPINGO,Edo. de Mexico,C.P.56230.,MX,Mexico,Universidad Autónoma Chapingo,,1980,,0,0,0,0,0,,MAXMA,,,,2024-02-26T22:21:53.000000Z,BGCI GardenSearch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Botanic Garden/Arboretum,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Jardín Botánico de San Quintín,,http://www.jardinbotanicosq.com/,,jardinbotanicosq@gmail.com,30.52765,-115.93323,San Quintin,Baja California,CP 22930,MX,Mexico,Calle Esteban Cantu #200,1,2015,"<h3 style=""text-align: justify"">Nuestro Jardín Botánico San Quintin (JBSQ) es una ONG que espera inspirar y empoderar a las personas para crear un cambio duradero en sus comunidades y el entorno natural. Nuestra misión es brindar herramientas para el aprendizaje, avanzar en el conocimiento, promover la comprensión y el respeto por la biodiversidad y fomentar la conservación de los hábitats naturales del Noroeste de Baja California.</h3><h3 style=""text-align: justify"">Mediante la creación reserva",0,1,0,0,0,,,https://www.facebook.com/jardinbotanicosq,jardinbotanicosq,,2024-02-26T22:21:53.000000Z,BGCI GardenSearch,Invasive species prevention and management,True,,,,,,Academic institution(s); Government agency(ies); Non-profit organization(s); Research community(ies),,,,Host visiting professionals; Offer fellowships or internships,,,"Less than $10,000",50,None,,,,,,,,,,Nonprofit/Charity,,,,,,,,,True,,,,"Less than $100,000",Botanic Garden/Arboretum,,,Education; Visitors,Collections; Education,,,,,,,,,,,,,,,,,,,,,,
32,Jardín Botánico del Instituto de Biología (UNAM),Jardín Botánico IB-UNAM,https://www.ib.unam.mx/,(525) 616-1297,dibunam@ibiologia.unam.mx,19.32530,-99.60450,Coyoacán,Mexico City,C.P. 04510,MX,Mexico,Universidad Nacional Autónoma de Mexico,,1959,,0,1,0,0,0,,MEXU,,,,2025-04-22T12:20:04.000000Z,BGCI GardenSearch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Botanic Garden/Arboretum,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Jardín Botánico Regional del Soconusco,Jardín Etnobiológico de las Selvas del Soconusco,https://colecciones.ecosur.mx/home/coleccion/29,962 628 9800 ext. 5304,adamon@ecosur.mx; wilber.sanchez@ecosur.mx,14.91136,-92.31298,Tapachula,Chiapas,C.P. 30700,MX,Mexico,ECOSUR Apdo Postal 36,1,1994,"Mexico is considered one of the five megadiverse countries of the world with 12% of global biodiversity, and the southeast of the country, where we are situated, connects with the Mesoamerican biodiversity hotspot.  Within that scenario, Soconusco, in the extreme southeast of Mexico, includes one of the national priority regions for terrestrial biodiversity, the Tacaná-Boquerón corridor, which, in particular, is the second most important region for orchid species richness in Mexico, and one of t",0,1,0,0,0,,,https://www.facebook.com/JardinJESS,https://www.instagram.com/selvas_soconusco/,,2026-03-10T20:30:06.000000Z,BGCI GardenSearch,,,80,,3000,,,,Collections network/multisite collection member; Individual research requests; Multi-site collections database,,,,,,,,,,,,,,,,,,Academic; National Government,2,,,,,,1,True,True,2,,,,Botanic Garden/Arboretum,,True,,,,,,,,,,2,,,,,,2,,300,1,,,,90,90
34,Jardín Botánico Dr. Faustino Miranda,,http://semahn@chiapas.gob.mx,(52) 01 961 236 22 ext. 110,botanica_ihne@hotmail.com,16.25810,-92.30090,CHIAPAS,Chiapas,29000,MX,Mexico,Calzada de los Hombres Ilustres s/n Colonia Centro,1,1949,"El Jardín Botánico Dr. Faustino Miranda fue fundado en 1949 y es el más antiguo de México. Se ubica en la ciudad de Tuxtla Gutiérrez, capital del estado de Chiapas. Es un jardín regional y exhibe 724 especies, en su mayor parte nativas. Ocupa una superficie de 4 hectáreas. Cuenta además con un Museo Botánico, un Herbario (CHP) con más de 50 mil registros, un Banco de Semillas y un Vivero con capacidad para producir 100 mil plantas anuales. Realiza estudios etnobotánicos en comunidades indígenas ",0,0,0,0,0,,CHIAP,,,,2024-02-26T22:21:53.000000Z,BGCI GardenSearch,,,530,,26,,,,,,,,,,,,,,,,,,,,,,Academic; National Government,,,,,,,,,,,,,,Botanic Garden/Arboretum,,,,,,,,,,,,19,,,,,,4,,30000,35,,,,,
