source,osm_id,osm_type,tourism,name,lat,lon,region,electric_hookup,water_hookup,sewer,hookup,caravans,motorhome,capacity,fee,phone,website,opening_hours,country,addr_city,all_tags
OpenStreetMap,158813003,node,caravan_site,Flagg's Trailer Park,43.1571953,-70.626142,north_america,,,,,,,,,,,,,,"{""designation"": ""Flagg's Trailer Park"", ""ele"": ""3"", ""gnis:feature_id"": ""1910884"", ""source"": ""Live near the park""}"
OpenStreetMap,158843541,node,caravan_site,Wayside Trailer Park,43.1698377,-70.6119345,north_america,,,,,,,,,,,,,,"{""ele"": ""6"", ""gnis:feature_id"": ""1911242""}"
OpenStreetMap,177327270,node,camp_site,May Queen Campground,39.2784366,-106.4333925,north_america,,,,,yes,,,,,,,,,"{""tents"": ""yes""}"
OpenStreetMap,181763581,node,caravan_site,,39.1051625,-87.3963296,north_america,,,,,,,,,,,,,,{}
OpenStreetMap,253326477,node,camp_site,Lake Laberge Campground,61.0764342,-135.1982366,north_america,,,,,yes,,,yes,,https://yukon.ca/en/outdoor-recreation-and-wildlife/camping/site/lake-laberge-campground,,,,"{""tents"": ""yes""}"
OpenStreetMap,255896371,node,caravan_site,Chinook Park Estates,49.5606233,-113.8890932,north_america,,,,,,,,,,,,,,"{""created_by"": ""Potlatch 0.8a""}"
OpenStreetMap,255897504,node,caravan_site,Buffalo Plains,49.7067419,-113.592634,north_america,,,,,,,,,,,,,,"{""created_by"": ""Potlatch 0.8a""}"
OpenStreetMap,266449021,node,caravan_site,,44.6075959,-79.980981,north_america,,,,,,,,,,,,,,{}
OpenStreetMap,270028625,node,camp_site,Paddys Flat Campground,50.87721,-114.71492,north_america,,,,,yes,,,yes,+1 403-949-3132,https://www.albertaparks.ca/parks/kananaskis/elbow-river-pra/information-facilities/camping/paddy-s-flat/,,,,"{""access"": ""yes"", ""camp_site"": ""standard"", ""capacity:caravans"": ""98"", ""charge"": ""31 CAD/day"", ""dog"": ""leashed"", ""internet_access"": ""no"", ""nudism"": ""no"", ""openfire"": ""yes"", ""operator"": ""Alberta parks"", ""picnic_table"": ""yes"", ""power_supply"": ""no"", ""source"": ""Calgary Area Trail Mapping Project"", ""tents"": ""no"", ""toilets"": ""yes""}"
OpenStreetMap,270032622,node,caravan_site,Mclean Creek Campground,50.8882271,-114.6735371,north_america,,,,,,,,,,,,,,"{""source"": ""Calgary Area Trail Mapping Project""}"
OpenStreetMap,277291720,node,caravan_site,Lynwood Resort,45.5730866,-79.2822587,north_america,,,,,,,,,,,,,,"{""addr:housenumber"": ""1372"", ""addr:street"": ""Deer Lake Road""}"
OpenStreetMap,280815404,node,caravan_site,Sam's Town RV Park,34.8182956,-90.4156712,north_america,,,,,,,,,,,,,,{}
OpenStreetMap,288623834,node,caravan_site,,49.1937669,-95.314957,north_america,,,,,,,,,,,,,,"{""created_by"": ""Potlatch 0.10b""}"
OpenStreetMap,290875387,node,camp_site,Clearwater Falls Campground,43.248458,-122.230752,north_america,,,,,yes,,,,,,,,,"{""created_by"": ""GPSBabel-1.3.5"", ""source_ref"": ""http://www.fs.fed.us/r6/data-library/gis/umpqua/documents/rec_site_pt.zip"", ""tents"": ""yes""}"
OpenStreetMap,291018974,node,caravan_site,Iron Trail RV Park & Campground & Laundry,47.4883426,-92.8894158,north_america,,,,,,,,,,,,,,"{""created_by"": ""Potlatch 0.10b"", ""source"": ""survey""}"
OpenStreetMap,319577577,node,caravan_site,Grande Cache Municipal Campground,53.8951379,-119.0986992,north_america,,,,,,,,,+1 780-827-2404,https://mdgreenview.ab.ca/tourism/campgrounds-day-use-areas/grande-cache-campground/,Mo-Su 08:30-19:00,,,"{""addr:housenumber"": ""10401"", ""addr:street"": ""Memorial Drive""}"
OpenStreetMap,346915711,node,camp_site,Pacifico Mountain Campground,34.3825317,-118.0342093,north_america,,,,,yes,,,,,,,,,"{""cabins"": ""no"", ""static_caravans"": ""no"", ""tents"": ""yes""}"
OpenStreetMap,354032639,node,caravan_site,Historic Marble Springs,41.9515593,-84.7951627,north_america,,,,,,,,,,,,,,"{""ele"": ""318"", ""gnis:feature_id"": ""2419716""}"
OpenStreetMap,354034726,node,caravan_site,Magnus Park,45.3730556,-84.9744444,north_america,,,,,,,68,,,,,,,"{""gnis:feature_id"": ""2360088"", ""tents"": ""yes""}"
OpenStreetMap,356676405,node,caravan_site,Valles Trailer Park,37.1499062,-109.8567024,north_america,,,,,,,,,,,,,,"{""ele"": ""1280"", ""gnis:feature_id"": ""1436567""}"
OpenStreetMap,356851622,node,caravan_site,Wildcat RV and Paint Creek MH Parks,31.8830524,-100.5351644,north_america,,,,,,,,,,,,,,"{""ele"": ""588"", ""gnis:feature_id"": ""2029966""}"
OpenStreetMap,357228719,node,camp_site,,52.3957895,-115.3107819,north_america,,,,,yes,,13,,,,,,,"{""drinking_water"": ""yes"", ""operator"": ""Westward Bound Campgrounds"", ""reservation"": ""no"", ""tents"": ""yes"", ""toilets"": ""yes""}"
OpenStreetMap,357351579,node,caravan_site,Sherman County RV Park,45.4775186,-120.7180459,north_america,,,,,,,,,,,,,,"{""ele"": ""589"", ""gnis:feature_id"": ""2040242""}"
OpenStreetMap,357481745,node,camp_site,Lake O'Pines Campground,40.9300271,-81.3536892,north_america,,,,,yes,,,,,,,,,"{""access"": ""customers"", ""ele"": ""359"", ""gnis:feature_id"": ""1074933""}"
OpenStreetMap,358720037,node,caravan_site,Old Bellamy Camp Park,29.8745542,-82.5483055,north_america,,,,,,,,,,,,,,"{""ele"": ""29"", ""gnis:feature_id"": ""300354"", ""wikidata"": ""Q49534905""}"
OpenStreetMap,358923961,node,caravan_site,Gather Montrose,38.418312,-107.8547035,north_america,,,,,,,,,,https://www.hipcamp.com/en-US/colorado/schoolhouse-with-mountain-views/schoolhouse-with-mountain-views,,,,"{""ele"": ""1827"", ""gnis:feature_id"": ""188127""}"
OpenStreetMap,359011685,node,camp_site,Carter Cove Public Use Area,34.9612021,-93.2387918,north_america,,,,,yes,,,,+1 479-272-4983,https://www.recreation.gov/camping/campgrounds/232543,,,Plainview,"{""access"": ""yes"", ""addr:housenumber"": ""10692"", ""addr:postcode"": ""72857"", ""addr:state"": ""AR"", ""addr:street"": ""Carter Cove Road"", ""backcountry"": ""no"", ""capacity:persons"": ""34"", ""drinking_water"": ""yes"", ""ele"": ""114"", ""operator"": ""US Army Corps of Engineers"", ""picnic_table"": ""yes"", ""power_supply"": ""yes"", ""sanitary_dump_station"": ""yes"", ""shower"": ""yes"", ""tents"": ""yes"", ""toilets"": ""yes""}"
OpenStreetMap,369030159,node,caravan_site,Rivers Edge Park,36.1429933,-81.1922556,north_america,,,,,,,,,,,,,,"{""addr:state"": ""NC"", ""addr:street"": ""Industrial Drive"", ""ele"": ""336"", ""gnis:feature_id"": ""998038""}"
OpenStreetMap,369135157,node,caravan_site,Lake Griffin State Park Campground,28.8598437,-81.9017121,north_america,,,,,,,,,,,,,,"{""FIXME"": ""no water here, but tagged as bay"", ""addr:state"": ""FL"", ""designation"": ""Lake Griffin State Park Campground"", ""ele"": ""17"", ""gnis:feature_id"": ""281383"", ""natural"": ""bay"", ""source"": ""Florida DEP - Rec. & Parks""}"
OpenStreetMap,382882203,node,camp_site,Split Mountain Campground,40.4432767,-109.252787,north_america,,,,,yes,,,yes,,https://www.nps.gov/dino/planyourvisit/splitmountaincampground.htm,,,Jensen,"{""access"": ""yes"", ""addr:housenumber"": ""11625"", ""addr:postcode"": ""84035"", ""addr:state"": ""UT"", ""addr:street"": ""E 1500 S"", ""operator"": ""NPS"", ""tents"": ""yes""}"
OpenStreetMap,385475250,node,camp_site,Lazy K Campground,40.358675,-75.6250744,north_america,,,,,yes,,,,,,,,,"{""tents"": ""yes""}"
OpenStreetMap,414992916,node,camp_site,Lakeside Campground,42.2685184,-79.7599064,north_america,,,,,yes,,,yes,+1-716-736-3362,https://campatlakeside.com/,,,Ripley,"{""addr:housenumber"": ""10768"", ""addr:postcode"": ""14775"", ""addr:state"": ""NY"", ""addr:street"": ""West Lake Road"", ""drinking_water"": ""yes"", ""power_supply"": ""yes"", ""source"": ""https://campatlakeside.com/"", ""tents"": ""yes""}"
OpenStreetMap,445987048,node,camp_site,Cedar Grove RV Park & Campground,49.3620155,-124.4845621,north_america,,,,,yes,,,yes,,https://www.cedargrovervpark.ca/,,,,"{""addr:housenumber"": ""246"", ""addr:street"": ""Riverbend Road""}"
OpenStreetMap,451582248,node,caravan_site,,45.4430717,-123.8807507,north_america,,,,,,,,,,,,,,{}
OpenStreetMap,453888039,node,caravan_site,,46.9649623,-71.2055179,north_america,,,,,,,,,,,,,,{}
OpenStreetMap,500916801,node,caravan_site,Braeside Camp,43.2147127,-80.3525786,north_america,,,,,,,,,,,,,Paris,"{""addr:housenumber"": ""110"", ""addr:street"": ""East River Road""}"
OpenStreetMap,535058294,node,caravan_site,,34.0938548,-118.711957,north_america,,,,,,,,,,,,,,"{""amenity"": ""toilets"", ""shower"": ""yes""}"
OpenStreetMap,535066649,node,caravan_site,Malibu Creek Group Camp Site,34.0914897,-118.7129078,north_america,,,,,,,,yes,,https://www.parks.ca.gov/?page_id=614,,,,"{""permanent_camping"": ""no"", ""sanitary_dump_station"": ""yes"", ""shower"": ""yes"", ""toilets"": ""yes""}"
OpenStreetMap,560708048,node,caravan_site,Hee Hee Illahee RV Resort,44.9905438,-122.9928344,north_america,,,,,,,,,,,,,,{}
OpenStreetMap,561044444,node,caravan_site,Buckhorn Lake RV Resort,30.1201467,-99.1987667,north_america,,,,,,,,,,,,,,{}
OpenStreetMap,566805494,node,caravan_site,,37.1568067,-122.3489342,north_america,,,,,,,,,,,,,,{}
OpenStreetMap,574120055,node,caravan_site,Alton RV Park,39.9507889,-83.1757721,north_america,,,,,yes,,,,+16148789127,https://altonrvpark.com/,,,Galloway,"{""addr:housenumber"": ""6552"", ""addr:postcode"": ""43119"", ""addr:state"": ""Ohio"", ""addr:street"": ""West Broad Street"", ""power_supply"": ""yes""}"
OpenStreetMap,596436114,node,caravan_site,Thousand Trails Oakzanita Springs,32.8848733,-116.5744606,north_america,,,,,,,,,,,,US,Descanso,"{""addr:housenumber"": ""11053"", ""addr:postcode"": ""91916"", ""addr:state"": ""CA"", ""addr:street"": ""Highway 79"", ""brand"": ""Thousand Trails"", ""brand:wikidata"": ""Q7797073"", ""source"": ""SanGIS Addresses Public Domain (http://www.sangis.org/)""}"
OpenStreetMap,596525825,node,caravan_site,KQ Ranch,33.033918,-116.554314,north_america,,,,,,,,,,https://www.kqranchresort.com/,,US,Julian,"{""addr:housenumber"": ""449"", ""addr:postcode"": ""92036"", ""addr:state"": ""CA"", ""addr:street"": ""K Q Ranch Road"", ""operator"": ""Colorado River Adventures"", ""source"": ""SanGIS Addresses Public Domain (http://www.sangis.org/)""}"
OpenStreetMap,596571391,node,caravan_site,Pinezanita,33.036335,-116.564908,north_america,,,,,,,,,,https://pinezanita.com/,,US,Julian,"{""addr:housenumber"": ""4446"", ""addr:postcode"": ""92036"", ""addr:state"": ""CA"", ""addr:street"": ""State Highway 79"", ""source"": ""SanGIS Addresses Public Domain (http://www.sangis.org/)""}"
OpenStreetMap,596592096,node,caravan_site,Escondido RV Resort,33.1478051,-117.10224,north_america,,,,,,,,,+1-442-257-6030,https://www.sunlandrvresorts.com/california/escondido-rv-resort/,24/7,,Escondido,"{""addr:housenumber"": ""1740"", ""addr:postcode"": ""92026"", ""addr:state"": ""CA"", ""addr:street"": ""Seven Oakes Road"", ""check_date"": ""2026-05-24"", ""check_date:opening_hours"": ""2026-05-24"", ""contact:facebook"": ""EscondidoRVResort"", ""contact:instagram"": ""escondidorvresort"", ""email"": ""escondidorv@sunlandrvresorts.com"", ""source"": ""SanGIS Addresses Public Domain (http://www.sangis.org/)""}"
OpenStreetMap,597162510,node,caravan_site,Oak Knoll Campground,33.2944243,-116.8977056,north_america,,,,,,,,,,,,US,Palomar Mountain,"{""addr:housenumber"": ""31718"", ""addr:postcode"": ""92060"", ""addr:street"": ""South Grade Road"", ""source"": ""SanGIS Addresses Public Domain (http://www.sangis.org/)""}"
OpenStreetMap,602741128,node,caravan_site,,50.6964793,-119.0415108,north_america,,,,,,,,,,,,,,{}
OpenStreetMap,602744164,node,caravan_site,Golden Municipal Campground,51.2976903,-116.948769,north_america,,,,,,,,,,,,,,{}
OpenStreetMap,602843114,node,caravan_site,,50.0634874,-96.4689237,north_america,,,,,,,,,,,,,,{}
OpenStreetMap,602863729,node,caravan_site,Anicinabe Park,49.7531703,-94.4791333,north_america,,,,,,,,,+1-807-467-2700,,,,,"{""addr:postcode"": ""P9N 4J1"", ""addr:street"": ""Golf Course Road"", ""email"": ""anicinabepark@gmail.com"", ""internet_access"": ""wlan"", ""power_supply"": ""yes"", ""reservation"": ""yes"", ""sanitary_dump_station"": ""yes""}"
OpenStreetMap,602877889,node,caravan_site,,48.6931549,-93.0046224,north_america,,,,,,,,,,,,,,{}
OpenStreetMap,603086929,node,caravan_site,,46.2767819,-83.5860405,north_america,,,,,,,,,,,,,,{}
OpenStreetMap,604124832,node,caravan_site,,47.8068128,-65.7312986,north_america,,,,,,,,,,,,,,{}
OpenStreetMap,604148685,node,caravan_site,,46.7525433,-64.9960943,north_america,,,,,,,,,,,,,,"{""barrier"": ""gate"", ""source"": ""NRCan-CanVec-8.0""}"
OpenStreetMap,605164175,node,caravan_site,,46.0928128,-61.1434888,north_america,,,,,,,,,,,,,,"{""wheelchair"": ""limited""}"
OpenStreetMap,613316117,node,camp_site,The Silver Dollar Inn and Campground,49.8009999,-91.1797688,north_america,,,,,yes,,,,,http://www.silverdollarinn.com,,,Silver Dollar,"{""addr:province"": ""ON"", ""cabins"": ""yes"", ""camp_site"": ""serviced"", ""tents"": ""no""}"
OpenStreetMap,644156828,node,caravan_site,Pathfinder Campground/RV Park,49.2437771,-121.7905697,north_america,,,,,,,,,,,,,,{}
OpenStreetMap,663312834,node,caravan_site,Issaquah Village RV Park,47.536481,-122.030891,north_america,,,,,,,,,+1-425-392-9233,https://ivrvpark.com/,,,Issaquah,"{""addr:housenumber"": ""650"", ""addr:postcode"": ""98027"", ""addr:street"": ""1st Avenue Northeast""}"
OpenStreetMap,672990482,node,caravan_site,Rancho Sonora RV Park,32.9614613,-111.3377457,north_america,,,,,,,,,,,,,,{}
OpenStreetMap,672990483,node,caravan_site,Desert Gardens Oasis RV Park,32.9639548,-111.339237,north_america,,,,,,,,,,,,,,{}
OpenStreetMap,705715708,node,caravan_site,La Peñita Trailer Park,21.0471192,-105.2439258,north_america,,,,,,,,,,,,,,{}
OpenStreetMap,705715848,node,caravan_site,#1 Trailer Park,21.0440525,-105.2479677,north_america,,,,,,,,,,,,,,{}
OpenStreetMap,721676506,node,caravan_site,,45.5993811,-76.4853001,north_america,,,,,,,,,,,,,,{}
OpenStreetMap,732432504,node,camp_site,Newport News Park campground - F Loop,37.1856223,-76.5484238,north_america,,,,,yes,,,yes,,https://www.newport-news.org/visitors/things-to-do/outdoors-and-recreation/camping/,,,,"{""backcountry"": ""no"", ""drinking_water"": ""yes"", ""group_only"": ""no"", ""internet_access"": ""no"", ""operator"": ""Newport News Parks and Recreation"", ""shower"": ""yes"", ""tents"": ""yes"", ""toilets"": ""yes""}"
OpenStreetMap,732432507,node,camp_site,Newport News Park campground - C Loop,37.1876875,-76.5500451,north_america,,,,,yes,,,yes,,https://www.newport-news.org/visitors/things-to-do/outdoors-and-recreation/camping/,,,,"{""backcountry"": ""no"", ""drinking_water"": ""yes"", ""group_only"": ""no"", ""internet_access"": ""no"", ""operator"": ""Newport News Parks and Recreation"", ""shower"": ""yes"", ""tents"": ""yes"", ""toilets"": ""yes""}"
OpenStreetMap,732432510,node,camp_site,Newport News Park campground - E Loop,37.1870463,-76.5476894,north_america,,,,,yes,,,yes,,https://www.newport-news.org/visitors/things-to-do/outdoors-and-recreation/camping/,,,,"{""backcountry"": ""no"", ""drinking_water"": ""yes"", ""group_only"": ""no"", ""internet_access"": ""no"", ""operator"": ""Newport News Parks and Recreation"", ""shower"": ""yes"", ""tents"": ""yes"", ""toilets"": ""yes""}"
OpenStreetMap,732432513,node,camp_site,Newport News Park campground - B Loop,37.1877528,-76.552941,north_america,,,,,yes,,,yes,,https://www.newport-news.org/visitors/things-to-do/outdoors-and-recreation/camping/,,,,"{""backcountry"": ""no"", ""drinking_water"": ""yes"", ""group_only"": ""no"", ""internet_access"": ""no"", ""operator"": ""Newport News Parks and Recreation"", ""shower"": ""yes"", ""tents"": ""yes"", ""toilets"": ""yes""}"
OpenStreetMap,772312829,node,caravan_site,,42.9071164,-115.6879228,north_america,,,,,,,,,,,,,,{}
OpenStreetMap,772312831,node,caravan_site,,42.9105557,-115.6938222,north_america,,,,,,,,,,,,,,"{""power_supply"": ""yes""}"
OpenStreetMap,772371867,node,camp_site,Campground at Sinnemahoning State Park,41.4598195,-78.0618505,north_america,,,,,yes,,,yes,,http://pennsylvaniastateparks.reserveamerica.com/camping/sinnemahoning-state-park/r/campgroundDetails.do?contractCode=PA&parkId=880123,,,,"{""drinking_water"": ""yes"", ""sanitary_dump_station"": ""yes"", ""shower"": ""yes"", ""tents"": ""yes"", ""toilets"": ""yes""}"
OpenStreetMap,823624860,node,camp_site,Beckler River Campground,47.7328734,-121.3329288,north_america,,,,,yes,,,yes,+1-530-932-0242,https://www.fs.usda.gov/r06/mbs/recreation/beckler-river-campground,May-Sep: 06:00-22:00,,,"{""backcountry"": ""no"", ""bin"": ""yes"", ""camp_site"": ""standard"", ""capacity:tents"": ""27"", ""drinking_water"": ""yes"", ""motor_vehicle"": ""yes"", ""openfire"": ""yes"", ""operator"": ""United States Forest Service"", ""picnic_table"": ""yes"", ""power_supply"": ""no"", ""reservation"": ""recommended"", ""seasonal"": ""yes"", ""source"": ""local_knowledge"", ""tents"": ""yes"", ""toilets"": ""yes"", ""wheelchair"": ""yes""}"
OpenStreetMap,825409848,node,camp_site,Wayne Community Campround,51.3796196,-112.6593722,north_america,,,,,yes,,,yes,,https://www.campendium.com/wayne-community-campground,,,Drumheller,"{""access"": ""yes"", ""addr:housenumber"": ""16-12"", ""addr:postcode"": ""T0J 0Y9"", ""addr:province"": ""Alberta"", ""addr:street"": ""Atlas Street"", ""camp_site"": ""standard"", ""charge"": ""20 CAD"", ""internet_access"": ""wlan"", ""mobile"": ""+14038237222"", ""reservation"": ""no"", ""tents"": ""yes"", ""wheelchair"": ""yes""}"
OpenStreetMap,834609152,node,camp_site,Saugeen Cedars Family Campground,44.1605085,-80.9622517,north_america,,,,,yes,,,,+1-519-364-2069,https://www.saugeencedars.ca/,,,Hanover,"{""addr:housenumber"": ""401563"", ""addr:street"": ""Grey Road 4"", ""source"": ""CanVec 6.0 - NRCan""}"
OpenStreetMap,837157229,node,caravan_site,,30.7075663,-96.4648527,north_america,,,,,,,,,,,,,,{}
OpenStreetMap,850013834,node,caravan_site,,37.1576599,-94.3090509,north_america,,,,,,,,,,,"Aug Th[1],Th[1] +3 days 00:00-24:00 ""during Marian Days""",,,"{""access"": ""permissive""}"
OpenStreetMap,876435083,node,caravan_site,Brittany Bay,50.0571363,-125.5942096,north_america,,,,,,,,,,,,,,"{""internet_access"": ""no""}"
OpenStreetMap,879450284,node,caravan_site,Coulee City Campground,47.6170306,-119.2910268,north_america,,,,,,,,yes,,,,,,"{""source"": ""yahoo_wms;survey""}"
OpenStreetMap,890958489,node,caravan_site,Schulenburg RV Campground,29.6896827,-96.9039531,north_america,,,,,,,,,,,,,,{}
OpenStreetMap,891084244,node,caravan_site,Silver Star Campground & RV Park,50.2982381,-119.2561406,north_america,,,,,,,,yes,+1-250-542-2808,http://www.silverstarcampground.com,,,Vernon,"{""addr:housenumber"": ""6310"", ""addr:postcode"": ""V1B 3V1"", ""addr:street"": ""Stickle Road"", ""source"": ""survey;gestimate"", ""tents"": ""yes""}"
OpenStreetMap,891101791,node,caravan_site,Princeton Municipal RV Park & Campground,49.4622414,-120.4761622,north_america,,,,,,,,,+1-250-295-7355,http://www.camping.bc.ca/Princeton_Municipal_RV_Park__Campground_1692MID.aspx,,,Princeton,"{""addr:housenumber"": ""365"", ""addr:postcode"": ""V0X 1W0"", ""addr:street"": ""Hwy 3 East"", ""source"": ""survey;gestimate""}"
OpenStreetMap,891136241,node,caravan_site,Canyon Alpine RV Park & Campground,49.9142907,-121.4449593,north_america,,,,,,,,,+1-604-867-9734,https://www.canyonalpinervpark.com/,,,BOSTON BAR,"{""addr:housenumber"": ""50490"", ""addr:postcode"": ""V0K 1C0"", ""addr:street"": ""TRANS CANADA HWY"", ""phone:tollfree"": ""+1-800-644-7275"", ""source"": ""website;survey""}"
OpenStreetMap,891268475,node,caravan_site,Hilltop RV Park,30.6257995,-87.6241906,north_america,,,,,,,,,,,,,,"{""wheelchair"": ""yes""}"
OpenStreetMap,891268476,node,caravan_site,Wilderness RV Park,30.617386,-87.6102066,north_america,,,,,,,,,,,,,,{}
OpenStreetMap,891268477,node,caravan_site,Azalea Acres RV Park,30.6250391,-87.6055847,north_america,,,,,,,,,,,,,,{}
OpenStreetMap,891268478,node,caravan_site,Riverside RV Resort,30.6234616,-87.5930476,north_america,,,,,,,,,+1-251-945-1110,https://www.riverside-rvresort.com/,Mo-Sa 9:00 - 15:00,,Robertsdale,"{""addr:housenumber"": ""25625"", ""addr:postcode"": ""36567"", ""addr:state"": ""AL"", ""addr:street"": ""Water Rapids Road"", ""internet_access"": ""wlan"", ""operator"": ""April Givens"", ""start_date"": ""2016""}"
OpenStreetMap,894539519,node,caravan_site,Leisure Time Campground,32.5530584,-85.5118632,north_america,,,,,,,,yes,+1-334-821-2267,https://www.rvauburn.com/,,,Auburn,"{""addr:housenumber"": ""2670"", ""addr:postcode"": ""36830"", ""addr:state"": ""AL"", ""addr:street"": ""South College Street"", ""internet_access"": ""wlan"", ""power_supply"": ""yes""}"
OpenStreetMap,896693700,node,camp_site,Camp Loma (Future Farmers of America),37.076998,-121.842545,north_america,,,,,yes,,,,,,,,,"{""note"": ""15-AUG-03 5:05:32PM"", ""tents"": ""yes""}"
OpenStreetMap,899061413,node,camp_site,Scott Brook Provincial Park,45.4892773,-67.5028443,north_america,,,,,yes,,,,+1-207-952-9069,https://www.stcroix.org/,,,,"{""addr:province"": ""New Brunswick"", ""capacity:caravans"": ""6"", ""capacity:tents"": ""9"", ""operator"": ""St. Croix International Waterway Comission"", ""source"": ""CanVec 6.0 - NRCan"", ""tents"": ""yes""}"
OpenStreetMap,908277547,node,caravan_site,Escalante Petrified Forest State Park Campground,37.7996979,-111.6430919,north_america,,,,,,,,,,,,,,{}
OpenStreetMap,909233141,node,caravan_site,Museum Campground,49.350267,-97.3638999,north_america,,,,,,,,,,,,,,{}
OpenStreetMap,916273729,node,caravan_site,Oak Shores Campground,42.1057622,-86.0516863,north_america,,,,,,,,,+1-269-423-7370,https://www.oakshorescampground.com/,,,Decatur,"{""addr:housenumber"": ""86232"", ""addr:postcode"": ""49045"", ""addr:state"": ""MI"", ""addr:street"": ""County Road 215"", ""gnis:feature_id"": ""2574948"", ""tents"": ""yes""}"
OpenStreetMap,917892986,node,camp_site,Bainbridge Riverview Campground,30.8967797,-84.6004584,north_america,,,,,yes,,,yes,,,,,Bainbridge,"{""access"": ""yes"", ""addr:housenumber"": ""1000"", ""addr:postcode"": ""39819"", ""addr:state"": ""GA"", ""addr:street"": ""Basin View Dr"", ""charge"": ""$35/night"", ""internet_access"": ""wlan"", ""operator"": ""City of Bainbridge"", ""payment:credit_cards"": ""yes"", ""reservation"": ""yes"", ""shower"": ""yes"", ""tents"": ""yes""}"
OpenStreetMap,919162192,node,camp_site,Shallow Point Campground,50.4884388,-98.0098679,north_america,,,,,yes,,,yes,,https://shallowpointcampground.com/,,,,"{""internet_access"": ""wlan"", ""internet_access:fee"": ""no"", ""nudism"": ""no"", ""operator"": ""Pfund Family"", ""source"": ""CanVec 6.0 - NRCan"", ""tents"": ""yes"", ""wheelchair"": ""limited""}"
OpenStreetMap,922163894,node,caravan_site,Lewis & Clark RV Park,47.2940283,-101.6443287,north_america,,,,,,,,,,,,,,"{""internet_access"": ""yes"", ""internet_access:fee"": ""no""}"
OpenStreetMap,929885577,node,caravan_site,KOA Van Horn,31.0306856,-104.826471,north_america,,,,,,,,,,,,,,"{""brand"": ""KOA"", ""brand:wikidata"": ""Q16988635"", ""short_name"": ""KOA""}"
OpenStreetMap,929901564,node,caravan_site,KOA Placerville,38.6749873,-120.921872,north_america,,,,,,,,,,,,,,"{""brand"": ""KOA"", ""brand:wikidata"": ""Q16988635"", ""short_name"": ""KOA""}"
OpenStreetMap,957788670,node,camp_site,Coronado State Monument,35.325062,-106.5605063,north_america,,,,,yes,,,,,,,,,"{""drinking_water"": ""yes"", ""power_supply"": ""yes"", ""shower"": ""yes"", ""tents"": ""yes"", ""toilets"": ""yes""}"
